nomeProjeto,nomeRepositorio
Encurtador URL,api-encurtador-url
API Mocks,api_formalizacao-propostas-documentos-v1
API Mocks,api-acl-v1
API Mocks,api-analise-risco-credito-v1
API Mocks,api-assessoria-cobranca-v1
API Mocks,api-assessoria-prestacao-contas-v1
API Mocks,api-assinatura-digital-v1
API Mocks,api-boletos-parciais-v1
API Mocks,api-boletos-v1
API Mocks,api-calculo-ofertas-v1
API Mocks,api-campanha-distribuicao-v1
API Mocks,api-campanha-viva-mundo-v1
API Mocks,api-campanha-welcome-v1
API Mocks,api-catalogo-dados-abertos-bacen-v1
API Mocks,api-cep-treinamento-v1
API Mocks,api-cep-v1
API Mocks,api-clientes-conectados-v1
API Mocks,api-clientes-inadimplentes-v1
API Mocks,api-clientes-produtos-v1
API Mocks,api-clientes-v2
API Mocks,api-clientes-v3
API Mocks,api-consentimento-relacionamento-v1
API Mocks,api-contas-a-pagar-v1
API Mocks,api-contato-cliente-v1
API Mocks,api-contratos-assessorias-v1
API Mocks,api-contratos-teste
API Mocks,api-controle-acesso-externo
API Mocks,api-crivo-operacoes-v1
API Mocks,api-dealers-v1
API Mocks,api-documentos-gerais-v1
API Mocks,api-documentos-v1
API Mocks,api-docusign-v1
API Mocks,api-email-ofertas-v1
API Mocks,api-feedback-ofertas
API Mocks,api-fichacadastral-domin-v1
API Mocks,api-financiamentos-login-v1
API Mocks,api-financiamentos-param-v1
API Mocks,api-financiamentos-persi-v1
API Mocks,api-financiamentos-propo-v1
API Mocks,api-financ-notificacoes-v1
API Mocks,api-firebase
API Mocks,api-formalizacao-proposta-documentos-v1
API Mocks,api-formalizacao-proposta-envio-v1
API Mocks,api-infobank-v1
API Mocks,api-origens-negocio-v1
API Mocks,api-pilar3-dados-abertos-bacen-v1
API Mocks,api-planos-v2
API Mocks,api-proposta-dados-complementares-v1
API Mocks,api-proposta-listagem-v1
API Mocks,api-propostas-documentos-v1
API Mocks,api-propostas-v1
API Mocks,api-representante-legal-v1
API Mocks,api-salesforce-busca-ofertas-v1
API Mocks,api-salesforce-campaignmember-summary
API Mocks,api-salesforce-consentimento
API Mocks,api-salesforce-contatos-parceiros-v1
API Mocks,api-salesforce-contrato-bloqueio-v1
API Mocks,api-salesforce-dealers-v1
API Mocks,api-salesforce-feedback-ofertas-v1
API Mocks,api-salesforce-historico-ofertas-v1
API Mocks,api-salesforce-lgpd-v1
API Mocks,api-salesforce-ofertas-v3
API Mocks,api-salesforce-seller-tasks
API Mocks,api-salesforce-seller-tasks-v2
API Mocks,api-seguro-v1
API Mocks,api-simulador-v1
API Mocks,api-tesouraria-v1
API Mocks,api-toolbox-v1
API Mocks,api-validacao-positiva-v1
API Mocks,api-veiculos-v1
Poc Weblogic,Poc Weblogic
Connected Loan,api-fin-conectados
Connected Loan,api-fin-conectados-teste
Controle Externo,api-acoes
Controle Externo,api-batch-usuarios
Controle Externo,api-expurgos-log
Controle Externo,api-funcionalidades
Controle Externo,api-login
Controle Externo,api-perfis
Controle Externo,api-permissoes
Controle Externo,api-relatorios
Controle Externo,api-sistemas
Controle Externo,api-usuarios
Controle Externo,controle-externo
Openshift,openshift-amq-streams
Openshift,openshift-amq-streams-monitoring
Openshift,openshift-cicd
Openshift,openshift-cicd-app
Openshift,openshift-operators
Openshift,openshift-teste
Corretora de Seguros,corretora-business
Corretora de Seguros,corretora-institucional
Portal de Seminovos,mobileseminovos
Portal de Seminovos,portalseminovos
Devops-Automation,Devops-Automation
Sharepoint,api-sharepoint-docs
Sharepoint,api-sharepoint-login
SEGON - SISTEMA DE COTAÇÃO DE SEGUROS ONLINE,segon
BTB,apache-ignite
BTB,api-cestaservicos
BTB,api-emplacamento
BTB,api-expurgos
BTB,api-farol-parametros
